S No,C1,C2
224,Update,Update
225,Update,Update
226,Update,Update
227,Generic,Generic
228,Generic,Generic
229,Generic,Generic
230,Generic,Generic
231,Generic,Generic
232,Generic,Generic
233,Generic,Generic
234,Generic,Generic
235,Generic,Update
236,Generic,Address
237,Condolence,Condolence
238,Condolence,Condolence
239,Tribute,Update
240,Tribute,Tribute
241,Update,Update
242,Update,Update
243,Endorsement,Endorsement
244,Generic,Update
245,Congratulation,Congratulation
246,Congratulation,Greetings
247,Greetings,Greetings
248,Tribute,Tribute
249,Generic,Greetings
250,Update,Update
251,Greetings,Greetings
252,Greetings,Greetings
253,Greetings,Greetings
254,Greetings,Greetings
255,Greetings,Greetings
256,Greetings,Greetings
257,Greetings,Greetings
258,Greetings,Greetings
259,Greetings,Greetings
260,Greetings,Greetings
261,Tribute,Tribute
262,Tribute,Tribute
263,Tribute,Tribute
264,Tribute,Tribute
265,Tribute,Tribute
266,Tribute,Update
267,Tribute,Tribute
268,Tribute,Tribute
269,Tribute,Tribute
270,Appeal,Tribute
271,Appeal,Appeal
272,Tribute,Endorsement
273,Tribute,Tribute
274,Tribute,Tribute
275,Congratulation,Congratulation
276,Congratulation,Congratulation
277,Update,Endorsement
278,Address,Address
279,Update,Update
280,Update,Update
281,Update,Update
282,Update,Update
283,Update,Update
284,Update,Update
285,Update,Update
286,Update,Update
287,Update,Generic
288,Update,Update
289,Update,Generic
290,Update,Address
291,Update,Update
292,Update,Update
293,Update,Update
294,Update,Update
295,Update,Update
296,Update,Update
297,Address,Address
298,Update,Update
299,Update,Update
300,Congratulation,Congratulation
301,Endorsement,Endorsement
302,Endorsement,Endorsement
303,Endorsement,Endorsement
304,Endorsement,Endorsement
305,Endorsement,Endorsement
306,Tribute,Tribute
307,Appeal,Appeal
308,Generic,Generic
309,Generic,Generic
310,Generic,Generic
311,Update,Update
312,Update,Update
313,Update,Update
314,Address,Address
315,Tribute,Tribute
316,Generic,Tribute
317,Update,Update
318,Update,Update
319,Condolence,Condolence
320,Address,Address
321,Generic,Generic
322,Update,Update
323,Tribute,Tribute
324,Update,Generic
325,Update,Update
326,Endorsement,Generic
327,Appeal,Appeal
328,Update,Update
329,Update,Update
330,Generic,Update
331,Generic,Generic
332,Generic,Generic
333,Generic,Generic
334,Greetings,Greetings
335,Greetings,Greetings
336,Endorsement,Congratulation
337,Endorsement,Congratulation
338,Endorsement,Endorsement
339,Endorsement,Endorsement
340,Endorsement,Endorsement
341,Endorsement,Endorsement
342,Condolence,Condolence
343,Greetings,Greetings
344,Greetings,Greetings
345,Generic,Generic
346,Generic,Appeal
347,Achievement,Appeal
348,Update,Update
349,Address,Address
350,Update,Update
351,Address,Address
352,Generic,Generic
353,Generic,Generic
354,Generic,Generic
355,Generic,Generic
356,Generic,Generic
357,Generic,Generic
358,Address,Address
359,Congratulation,Congratulation
360,Congratulation,Congratulation
361,Update,Update
362,Condolence,Generic
363,Condolence,Condolence
364,Endorsement,Update
365,Endorsement,Endorsement
366,Endorsement,Endorsement
367,Endorsement,Endorsement
368,Endorsement,Endorsement
369,Endorsement,Endorsement
370,Endorsement,Endorsement
371,Endorsement,Endorsement
372,Endorsement,Update
373,Greetings,Update
374,Update,Update
375,Greetings,Greetings
376,Greetings,Greetings
377,Greetings,Greetings
378,Generic,Address
379,Generic,Generic
380,Condolence,Condolence
381,Condolence,Condolence
382,Endorsement,Update
383,Condolence,Condolence
384,Update,Update
385,Address,Address
386,Update,Generic
387,Update,Update
388,Endorsement,Endorsement
389,Congratulation,Congratulation
390,Congratulation,Congratulation
391,Update,Update
392,Greetings,Greetings
393,Tribute,Tribute
394,Endorsement,Congratulation
395,Endorsement,Endorsement
396,Endorsement,Congratulation
397,Endorsement,Endorsement
398,Endorsement,Endorsement
399,Endorsement,Endorsement
400,Endorsement,Endorsement
401,Endorsement,Endorsement
402,Endorsement,Endorsement
403,Endorsement,Endorsement
404,Endorsement,Endorsement
405,Endorsement,Endorsement
406,Update,Update
407,Generic,Generic
408,Address,Address
409,Generic,Endorsement
410,Address,Address
411,Endorsement,Endorsement
412,Endorsement,Endorsement
413,Endorsement,Endorsement
414,Endorsement,Endorsement
415,Endorsement,Endorsement
416,Tribute,Tribute
417,Gratitude,Gratitude
418,Address,Address
419,Endorsement,Update
420,Update,Update
421,Greetings,Greetings
422,Tribute,Tribute
423,Appeal,Appeal
424,Tribute,Tribute
425,Greetings,Greetings
426,Greetings,Greetings
427,Tribute,Generic
428,Tribute,Generic
429,Generic,Generic
430,Generic,Generic
431,Generic,Update
432,Update,Update
433,Condolence,Condolence
434,Achievement,Gratitude
435,Congratulation,Congratulation
436,Congratulation,Congratulation
437,Congratulation,Congratulation
438,Endorsement,Endorsement
439,Greetings,Greetings
440,Tribute,Tribute
441,Tribute,Tribute
442,Endorsement,Condolence
443,Congratulation,Congratulation
444,Congratulation,Congratulation
445,Update,Update
446,Achievement,Congratulation
447,Greetings,Greetings
448,Greetings,Greetings
449,Appeal,Appeal
450,Update,Update
451,Greetings,Greetings
452,Update,Update
453,Update,Update
454,Greetings,Greetings
455,Endorsement,Congratulation
456,Endorsement,Endorsement
457,Condolence,Condolence
458,Greetings,Greetings
459,Congratulation,Congratulation
460,Update,Update
461,Congratulation,Congratulation
462,Update,Update
463,Update,Update
464,Update,Generic
465,Greetings,Greetings
466,Condolence,Update
467,Condolence,Condolence
468,Appeal,Appeal
469,Update,Update
470,Update,Update
471,Condolence,Condolence
472,Condolence,Update
473,Condolence,Generic
474,Condolence,Condolence
475,Update,Generic
476,Update,Update
477,Gratitude,Gratitude
478,Tribute,Update
479,Tribute,Tribute
480,Condolence,Condolence
481,Update,Update
482,Update,Update
483,Address,Generic
484,Address,Address
485,Endorsement,Congratulation
486,Endorsement,Endorsement
487,Endorsement,Endorsement
488,Update,Gratitude
489,Gratitude,Gratitude
490,Gratitude,Gratitude
491,Gratitude,Gratitude
492,Gratitude,Gratitude
493,Gratitude,Gratitude
494,Gratitude,Gratitude
495,Gratitude,Gratitude
496,Gratitude,Gratitude
497,Gratitude,Gratitude
498,Gratitude,Gratitude
499,Gratitude,Gratitude
500,Gratitude,Gratitude
501,Gratitude,Gratitude
502,Gratitude,Gratitude
503,Gratitude,Gratitude
504,Gratitude,Gratitude
505,Gratitude,Gratitude
506,Gratitude,Gratitude
507,Gratitude,Gratitude
508,Gratitude,Gratitude
509,Gratitude,Gratitude
510,Gratitude,Gratitude
511,Gratitude,Update
512,Gratitude,Gratitude
513,Gratitude,Gratitude
514,Gratitude,Gratitude
515,Gratitude,Gratitude
516,Generic,Generic
517,Generic,Generic
518,Tribute,Generic
519,Generic,Generic
520,Gratitude,Gratitude
521,Generic,Gratitude
522,Generic,Update
523,Generic,Update
524,Generic,Generic
525,Update,Generic
526,Update,Update
527,Update,Update
528,Update,Update
529,Greetings,Appeal
530,Greetings,Greetings
531,Update,Update
532,Greetings,Greetings
533,Update,Update
534,Generic,Generic
535,Generic,Generic
536,Update,Generic
537,Update,Update
538,Update,Political Confrontations
539,Achievement,Generic
540,Congratulation,Congratulation
541,Congratulation,Congratulation
542,Update,Update
543,Update,Generic
544,Congratulation,Congratulation
545,Appeal,Address
546,Update,Update
547,Appeal,Appeal
548,Appeal,Appeal
549,Condolence,Condolence
550,Condolence,Condolence
551,Endorsement,Address
552,Generic,Generic
553,Generic,Generic
554,Update,Achievement
555,Generic,Generic
556,Generic,Address
557,Tribute,Generic
558,Greetings,Greetings
559,Generic,Appeal
560,Generic,Update
561,Generic,Generic
562,Address,Generic
563,Appeal,Generic
564,Gratitude,Gratitude
565,Political Confrontations,Political Confrontations
566,Update,Update
567,Update,Update
568,Gratitude,Gratitude
569,Update,Update
570,Gratitude,Tribute
571,Generic,Tribute
572,Generic,Tribute
573,Appeal,Appeal
574,Update,Update
575,Generic,Generic
576,Update,Generic
577,Political Confrontations,Political Confrontations
578,Gratitude,Gratitude
579,Address,Address
580,Address,Address
581,Address,Generic
582,Political Confrontations,Political Confrontations
583,Political Confrontations,Political Confrontations
584,Political Confrontations,Political Confrontations
585,Political Confrontations,Political Confrontations
586,Address,Address
587,Endorsement,Update
588,Achievement,Achievement
589,Achievement,Achievement
590,Address,Address
591,Update,Achievement
592,Update,Generic
593,Update,Generic
594,Tribute,Tribute
595,Generic,Update
596,Tribute,Tribute
597,Gratitude,Gratitude
598,Update,Update
599,Update,Update
600,Generic,Address
601,Update,Update
602,Greetings,Update
603,Appeal,Appeal
604,Generic,Generic
605,Update,Update
606,Update,Generic
607,Political Confrontations,Political Confrontations
608,Political Confrontations,Political Confrontations
609,Address,Address
610,Appeal,Appeal
611,Appeal,Appeal
612,Update,Political Confrontations
613,Generic,Political Confrontations
614,Update,Achievement
615,Achievement,Achievement
616,Achievement,Achievement
617,Political Confrontations,Achievement
618,Political Confrontations,Political Confrontations
619,Gratitude,Gratitude
620,Address,Update
621,Address,Update
622,Political Confrontations,Generic
623,Political Confrontations,Generic
624,Political Confrontations,Generic
625,Political Confrontations,Generic
626,Endorsement,Update
627,Greetings,Greetings
628,Endorsement,Update
629,Political Confrontations,Generic
630,Political Confrontations,Political Confrontations
631,Political Confrontations,Political Confrontations
632,Update,Generic
633,Gratitude,Gratitude
634,Update,Political Confrontations
635,Address,Update
636,Appeal,Update
637,Political Confrontations,Generic
638,Political Confrontations,Generic
639,Political Confrontations,Update
640,Address,Condolence
641,Update,Update
642,Greetings,Generic
643,Address,Update
644,Appeal,Appeal
645,Update,Update
646,Political Confrontations,Generic
647,Political Confrontations,Generic
648,Generic,Generic
649,Political Confrontations,Political Confrontations
650,Political Confrontations,Appeal
651,Political Confrontations,Political Confrontations
652,Political Confrontations,Political Confrontations
653,Update,Update
654,Political Confrontations,Generic
655,Update,Generic
656,Generic,Generic
657,Update,Update
658,Gratitude,Update
659,Update,Address
660,Generic,Address
661,Address,Generic
662,Address,Address
663,Political Confrontations,Political Confrontations
664,Political Confrontations,Appeal
665,Appeal,Appeal
666,Update,Update
667,Generic,Address
668,Generic,Address
669,Generic,Generic
670,Generic,Generic
671,Greetings,Greetings
672,Generic,Address
673,Generic,Update
674,Generic,Update
675,Update,Update
676,Update,Update
677,Gratitude,Update
678,Endorsement,Update
679,Update,Update
680,Political Confrontations,Generic
681,Political Confrontations,Political Confrontations
682,Political Confrontations,Political Confrontations
683,Political Confrontations,Political Confrontations
684,Address,Address
685,Address,Address
686,Update,Update
687,Greetings,Greetings
688,Political Confrontations,Generic
689,Political Confrontations,Generic
690,Political Confrontations,Political Confrontations
691,Achievement,Update
692,Update,Address
693,Greetings,Greetings
694,Political Confrontations,Update
695,Update,Update
696,Political Confrontations,Generic
697,Political Confrontations,Generic
698,Achievement,Update
699,Update,Update
700,Update,Update
701,Generic,Update
702,Appeal,Update
703,Appeal,Update
704,Gratitude,Gratitude
705,Tribute,Tribute
706,Greetings,Tribute
707,Greetings,Generic
708,Generic,Generic
709,Generic,Generic
710,Greetings,Greetings
711,Update,Update
712,Congratulation,Congratulation
713,Political Confrontations,Generic
714,Generic,Generic
715,Update,Update
716,Update,Update
717,Update,Generic
718,Update,Generic
719,Address,Appeal
720,Update,Update
721,Gratitude,Update
722,Political Confrontations,Generic
723,Political Confrontations,Political Confrontations
724,Appeal,Appeal
725,Update,Update
726,Appeal,Update
727,Generic,Generic
728,Congratulation,Congratulation
729,Generic,Update
730,Update,Update
731,Update,Update
732,Appeal,Appeal
733,Appeal,Appeal
734,Update,Update
735,Update,Generic
736,Generic,Generic
737,Political Confrontations,Generic
738,Generic,Update
739,Generic,Update
740,Gratitude,Gratitude
741,Address,Address
742,Update,Update
743,Update,Update
744,Update,Update
745,Update,Update
746,Update,Update
747,Update,Update
748,Update,Update
749,Condolence,Condolence
750,Condolence,Condolence
751,Generic,Condolence
752,Generic,Update
753,Generic,Update
754,Generic,Update
755,Political Confrontations,Generic
756,Political Confrontations,Generic
757,Update,Update
758,Political Confrontations,Generic
759,Political Confrontations,Political Confrontations
760,Political Confrontations,Political Confrontations
761,Political Confrontations,Political Confrontations
762,Political Confrontations,Political Confrontations
763,Political Confrontations,Generic
764,Political Confrontations,Political Confrontations
765,Generic,Generic
766,Political Confrontations,Generic
767,Political Confrontations,Generic
768,Political Confrontations,Generic
769,Political Confrontations,Generic
770,Political Confrontations,Political Confrontations
771,Political Confrontations,Political Confrontations
772,Address,Address
773,Generic,Address
774,Political Confrontations,Generic
775,Political Confrontations,Generic
776,Political Confrontations,Political Confrontations
777,Political Confrontations,Generic
778,Update,Update
779,Generic,Generic
780,Political Confrontations,Political Confrontations
781,Update,Update
782,Condolence,Condolence
783,Address,Address
784,Endorsement,Generic
785,Generic,Update
786,Update,Update
787,Gratitude,Update
788,Generic,Generic
789,Update,Generic
790,Political Confrontations,Gratitude
791,Political Confrontations,Generic
792,Address,Address
793,Generic,Update
794,Address,Generic
795,Address,Generic
796,Address,Political Confrontations
797,Address,Update
798,Update,Update
799,Update,Update
800,Update,Update
801,Update,Update
802,Update,Update
803,Generic,Update
804,Update,Update
805,Address,Update
806,Update,Generic
807,Greetings,Greetings
808,Political Confrontations,Update
809,Endorsement,Update
810,Endorsement,Update
811,Endorsement,Appeal
812,Update,Update
813,Political Confrontations,Generic
814,Update,Generic
815,Update,Generic
816,Political Confrontations,Generic
817,Address,Address
818,Address,Address
819,Political Confrontations,Political Confrontations
820,Address,Address
821,Political Confrontations,Generic
822,Political Confrontations,Achievement
823,Political Confrontations,Generic
824,Political Confrontations,Generic
825,Update,Appeal
826,Update,Update
827,Gratitude,Gratitude
828,Gratitude,Update
829,Generic,Generic
830,Gratitude,Gratitude
831,Generic,Update
832,Gratitude,Gratitude
833,Gratitude,Gratitude
834,Update,Update
835,Appeal,Appeal
836,Appeal,Appeal
837,Update,Generic
838,Update,Generic
839,Update,Address
840,Address,Address
841,Generic,Appeal
842,Update,Appeal
843,Update,Generic
844,Political Confrontations,Political Confrontations
845,Update,Generic
846,Condolence,Condolence
847,Update,Update
848,Political Confrontations,Update
849,Update,Address
850,Generic,Update
851,Generic,Update
852,Update,Update
853,Appeal,Address
854,Generic,Update
855,Address,Address
856,Update,Appeal
857,Political Confrontations,Generic
858,Political Confrontations,Generic
859,Political Confrontations,Generic
860,Political Confrontations,Generic
861,Update,Update
862,Address,Address
863,Generic,Address
864,Update,Update
865,Appeal,Appeal
866,Update,Update
867,Endorsement,Address
868,Endorsement,Address
869,Update,Address
870,Appeal,Appeal
871,Generic,Generic
872,Generic,Generic
873,Greetings,Greetings
874,Political Confrontations,Political Confrontations
875,Appeal,Appeal
876,Update,Appeal
877,Political Confrontations,Political Confrontations
878,Update,Generic
879,Update,Update
880,Update,Update
881,Update,Update
882,Appeal,Appeal
883,Address,Generic
884,Address,Address
885,Update,Generic
886,Political Confrontations,Update
887,Political Confrontations,Political Confrontations
888,Address,Address
889,Political Confrontations,Generic
890,Update,Appeal
891,Political Confrontations,Generic
892,Political Confrontations,Political Confrontations
893,Political Confrontations,Generic
894,Address,Address
895,Generic,Generic
896,Congratulation,Congratulation
897,Political Confrontations,Political Confrontations
898,Appeal,Update
899,Generic,Update
900,Generic,Update
901,Appeal,Generic
902,Update,Update
903,Update,Update
904,Update,Update
905,Update,Update
906,Address,Address
907,Greetings,Greetings
908,Update,Generic
909,Political Confrontations,Political Confrontations
910,Political Confrontations,Generic
911,Update,Update
912,Update,Generic
913,Political Confrontations,Political Confrontations
914,Political Confrontations,Political Confrontations
915,Generic,Update
916,Generic,Address
917,Generic,Generic
918,Congratulation,Congratulation
919,Endorsement,Generic
920,Political Confrontations,Political Confrontations
921,Political Confrontations,Political Confrontations
922,Address,Address
923,Generic,Address
924,Appeal,Generic
925,Political Confrontations,Political Confrontations
926,Political Confrontations,Generic
927,Congratulation,Congratulation
928,Generic,Generic
929,Address,Address
930,Update,Update
931,Address,Address
932,Update,Generic
933,Political Confrontations,Political Confrontations
934,Update,Generic
935,Political Confrontations,Political Confrontations
936,Update,Update
937,Appeal,Appeal
938,Generic,Address
939,Generic,Address
940,Update,Update
941,Update,Update
942,Update,Generic
943,Update,Generic
944,Update,Generic
945,Political Confrontations,Appeal
946,Update,Generic
947,Update,Update
948,Update,Update
949,Update,Generic
950,Endorsement,Update
951,Generic,Update
952,Congratulation,Congratulation
953,Gratitude,Gratitude
954,Generic,Address
955,Update,Generic
956,Political Confrontations,Political Confrontations
957,Political Confrontations,Generic
958,Update,Update
959,Address,Address
960,Update,Generic
961,Update,Generic
962,Achievement,Political Confrontations
963,Political Confrontations,Political Confrontations
964,Political Confrontations,Political Confrontations
965,Address,Update
966,Greetings,Greetings
967,Appeal,Generic
968,Update,Generic
969,Generic,Generic
970,Political Confrontations,Political Confrontations
971,Political Confrontations,Political Confrontations
972,Generic,Update
973,Address,Address
974,Political Confrontations,Political Confrontations
975,Political Confrontations,Political Confrontations
976,Political Confrontations,Political Confrontations
977,Update,Generic
978,Address,Address
979,Update,Address
980,Tribute,Tribute
981,Address,Address
982,Greetings,Greetings
983,Greetings,Greetings
984,Appeal,Appeal
985,Tribute,Tribute
986,Tribute,Tribute
987,Update,Generic
988,Update,Generic
989,Political Confrontations,Political Confrontations
990,Update,Update
991,Update,Update
992,Update,Update
993,Update,Update
994,Generic,Generic
995,Achievement,Achievement
996,Achievement,Congratulation
997,Greetings,Greetings
998,Update,Update
999,Update,Generic
1000,Update,Update
1001,Generic,Update
1002,Address,Address
1003,Update,Update
1004,Update,Update
1005,Achievement,Achievement
1006,Greetings,Greetings
1007,Tribute,Tribute
1008,Congratulation,Congratulation
1009,Congratulation,Congratulation
1010,Achievement,Generic
1011,Gratitude,Update
1012,Update,Update
1013,Update,Generic
1014,Update,Generic
1015,Endorsement,Endorsement
1016,Generic,Achievement
1017,Endorsement,Endorsement
1018,Endorsement,Endorsement
1019,Endorsement,Endorsement
1020,Generic,Generic
1021,Endorsement,Endorsement
1022,Endorsement,Endorsement
1023,Update,Update
1024,Endorsement,Endorsement
1025,Endorsement,Endorsement
1026,Update,Update
1027,Update,Update
1028,Update,Update
1029,Generic,Generic
1030,Update,Update
1031,Address,Address
1032,Address,Address
1033,Address,Address
1034,Update,Update
1035,Address,Address
1036,Endorsement,Endorsement
1037,Generic,Generic
1038,Address,Address
1039,Update,Appeal
1040,Generic,Address
1041,Endorsement,Endorsement
1042,Appeal,Appeal
1043,Generic,Generic
1044,Update,Update
1045,Update,Update
1046,Update,Update
1047,Generic,Generic
1048,Generic,Generic
1049,Address,Address
1050,Update,Update
1051,Generic,Generic
1052,Update,Update
1053,Update,Update
1054,Generic,Generic
1055,Update,Update
1056,Condolence,Condolence
1057,Generic,Generic
1058,Endorsement,Endorsement
1059,Endorsement,Endorsement
1060,Generic,Generic
1061,Greetings,Greetings
1062,Generic,Generic
1063,Generic,Update
1064,Generic,Generic
1065,Generic,Generic
1066,Update,Update
1067,Generic,Generic
1068,Update,Update
1069,Gratitude,Gratitude
1070,Update,Achievement
1071,Update,Update
1072,Generic,Generic
1073,Generic,Update
1074,Generic,Generic
1075,Address,Address
1076,Gratitude,Achievement
1077,Greetings,Greetings
1078,Greetings,Greetings
1079,Generic,Generic
1080,Achievement,Achievement
1081,Generic,Generic
1082,Generic,Generic
1083,Generic,Generic
1084,Update,Update
1085,Generic,Generic
1086,Address,Address
1087,Generic,Generic
1088,Generic,Generic
1089,Endorsement,Endorsement
1090,Update,Update
1091,Update,Update
1092,Greetings,Greetings
1093,Generic,Generic
1094,Generic,Generic
1095,Congratulation,Congratulation
1096,Update,Update
1097,Update,Update
1098,Update,Update
1099,Generic,Generic
1100,Generic,Generic
1101,Address,Address
1102,Update,Update
1103,Political Confrontations,Political Confrontations
1104,Political Confrontations,Political Confrontations
1105,Generic,Generic
1106,Tribute,Tribute
1107,Generic,Generic
1108,Political Confrontations,Political Confrontations
1109,Address,Address
1110,Address,Address
1111,Update,Generic
1112,Update,Generic
1113,Political Confrontations,Political Confrontations
1114,Condolence,Condolence
1115,Political Confrontations,Political Confrontations
1116,Political Confrontations,Political Confrontations
1117,Update,Address
1118,Generic,Generic
1119,Address,Address
1120,Achievement,Achievement
1121,Political Confrontations,Political Confrontations
1122,Political Confrontations,Political Confrontations
1123,Address,Address
1124,Political Confrontations,Political Confrontations
1125,Political Confrontations,Political Confrontations
1126,Political Confrontations,Generic
1127,Update,Update
1128,Tribute,Tribute
1129,Political Confrontations,Political Confrontations
1130,Update,Gratitude
1131,Address,Update
1132,Tribute,Condolence
1133,Generic,Generic
1134,Address,Political Confrontations
1135,Political Confrontations,Political Confrontations
1136,Political Confrontations,Political Confrontations
1137,Address,Address
1138,Appeal,Appeal
1139,Political Confrontations,Political Confrontations
1140,Political Confrontations,Political Confrontations
1141,Address,Address
1142,Update,Address
1143,Generic,Generic
1144,Generic,Generic
1145,Address,Generic
1146,Political Confrontations,Political Confrontations
1147,Political Confrontations,Political Confrontations
1148,Address,Address
1149,Update,Address
1150,Political Confrontations,Political Confrontations
1151,Condolence,Condolence
1152,Political Confrontations,Political Confrontations
1153,Address,Address
1154,Political Confrontations,Political Confrontations
1155,Political Confrontations,Political Confrontations
1156,Update,Address
1157,Generic,Generic
1158,Political Confrontations,Political Confrontations
1159,Address,Generic
1160,Address,Generic
1161,Address,Generic
1162,Political Confrontations,Political Confrontations
1163,Political Confrontations,Political Confrontations
1164,Address,Address
1165,Political Confrontations,Political Confrontations
1166,Update,Update
1167,Address,Address
1168,Address,Address
1169,Political Confrontations,Political Confrontations
1170,Political Confrontations,Political Confrontations
1171,Address,Address
1172,Update,Achievement
1173,Address,Address
1174,Generic,Generic
1175,Address,Address
1176,Update,Generic
1177,Update,Generic
1178,Address,Address
1179,Update,Update
1180,Endorsement,Generic
1181,Tribute,Tribute
1182,Generic,Generic
1183,Address,Address
1184,Update,Address
1185,Generic,Generic
1186,Generic,Generic
1187,Update,Update
1188,Generic,Generic
1189,Political Confrontations,Political Confrontations
1190,Update,Update
1191,Update,Update
1192,Update,Address
1193,Update,Address
1194,Generic,Generic
1195,Update,Update
1196,Condolence,Condolence
1197,Update,Update
1198,Generic,Generic
1199,Update,Update
1200,Generic,Generic
1201,Generic,Generic
1202,Greetings,Greetings
1203,Generic,Generic
1204,Generic,Endorsement
1205,Generic,Generic
1206,Appeal,Appeal
1207,Generic,Generic
1208,Congratulation,Congratulation
1209,Address,Address
1210,Greetings,Greetings
1211,Generic,Generic
1212,Generic,Generic
1213,Condolence,Condolence
1214,Update,Update
