S No,C1,C2
1494,Achievement,Update
1495,Update,Update
1496,Endorsement,Endorsement
1497,Endorsement,Endorsement
1498,Generic,Generic
1499,Endorsement,Endorsement
1500,Generic,Generic
1501,Gratitude,Gratitude
1502,Update,Update
1503,Generic,Generic
1504,Gratitude,Endorsement
1505,Political Confrontations,Political Confrontations
1506,Political Confrontations,Political Confrontations
1507,Endorsement,Endorsement
1508,Generic,Generic
1509,Generic,Generic
1510,Condolence,Condolence
1511,Generic,Generic
1512,Generic,Generic
1513,Address,Address
1514,Update,Update
1515,Generic,Generic
1516,Tribute,Tribute
1517,Generic,Generic
1518,Generic,Update
1519,Generic,Generic
1520,Endorsement,Endorsement
1521,Address,Address
1522,Generic,Generic
1523,Address,Address
1524,Greetings,Greetings
1525,Greetings,Greetings
1526,Condolence,Generic
1527,Update,Update
1528,Generic,Update
1529,Generic,Update
1530,Update,Update
1531,Update,Endorsement
1532,Greetings,Greetings
1533,Greetings,Greetings
1534,Update,Update
1535,Endorsement,Endorsement
1536,Update,Endorsement
1537,Update,Endorsement
1538,Endorsement,Endorsement
1539,Address,Address
1540,Condolence,Condolence
1541,Update,Update
1542,Update,Update
1543,Generic,Generic
1544,Endorsement,Endorsement
1545,Update,Endorsement
1546,Update,Update
1547,Generic,Endorsement
1548,Generic,Endorsement
1549,Endorsement,Endorsement
1550,Condolence,Condolence
1551,Endorsement,Appeal
1552,Update,Update
1553,Gratitude,Gratitude
1554,Tribute,Generic
1555,Gratitude,Gratitude
1556,Achievement,Achievement
1557,Congratulation,Gratitude
1558,Tribute,Generic
1559,Tribute,Tribute
1560,Update,Endorsement
1561,Endorsement,Endorsement
1562,Endorsement,Appeal
1563,Gratitude,Gratitude
1564,Achievement,Achievement
1565,Endorsement,Endorsement
1566,Address,Update
1567,Update,Update
1568,Update,Update
1569,Address,Generic
1570,Update,Endorsement
1571,Generic,Update
1572,Update,Update
1573,Generic,Generic
1574,Update,Update
1575,Achievement,Address
1576,Gratitude,Endorsement
1577,Condolence,Condolence
1578,Update,Endorsement
1579,Update,Address
1580,Gratitude,Update
1581,Update,Tribute
1582,Update,Update
1583,Update,Update
1584,Generic,Generic
1585,Generic,Generic
1586,Update,Update
1587,Update,Update
1588,Update,Update
1589,Condolence,Condolence
1590,Tribute,Tribute
1591,Achievement,Achievement
1592,Political Confrontations,Political Confrontations
1593,Tribute,Update
1594,Appeal,Tribute
1595,Generic,Generic
1596,Generic,Greetings
1597,Greetings,Greetings
1598,Update,Greetings
1599,Greetings,Greetings
1600,Greetings,Greetings
1601,Update,Update
1602,Endorsement,Endorsement
1603,Update,Update
1604,Achievement,Achievement
1605,Endorsement,Endorsement
1606,Tribute,Endorsement
1607,Endorsement,Endorsement
1608,Endorsement,Endorsement
1609,Greetings,Greetings
1610,Update,Address
1611,Achievement,Achievement
1612,Address,Address
1613,Greetings,Greetings
1614,Address,Address
1615,Update,Update
1616,Condolence,Condolence
1617,Appeal,Appeal
1618,Tribute,Tribute
1619,Greetings,Greetings
1620,Generic,Address
1621,Generic,Generic
1622,Appeal,Appeal
1623,Endorsement,Address
1624,Gratitude,Gratitude
1625,Generic,Generic
1626,Appeal,Gratitude
1627,Endorsement,Endorsement
1628,Condolence,Condolence
1629,Endorsement,Endorsement
1630,Endorsement,Endorsement
1631,Endorsement,Endorsement
1632,Endorsement,Endorsement
1633,Endorsement,Gratitude
1634,Endorsement,Endorsement
1635,Endorsement,Appeal
1636,Endorsement,Endorsement
1637,Greetings,Generic
1638,Achievement,Achievement
1639,Endorsement,Endorsement
1640,Generic,Generic
1641,Update,Endorsement
1642,Update,Update
1643,Tribute,Update
1644,Generic,Generic
1645,Greetings,Greetings
1646,Appeal,Appeal
1647,Condolence,Condolence
1648,Generic,Update
1649,Address,Address
1650,Update,Update
1651,Generic,Update
1652,Achievement,Achievement
1653,Greetings,Greetings
1654,Greetings,Greetings
1655,Greetings,Greetings
1656,Achievement,Achievement
1657,Update,Appeal
1658,Update,Update
1659,Generic,Generic
1660,Generic,Generic
1661,Political Confrontations,Political Confrontations
1662,Update,Update
1663,Greetings,Generic
1664,Tribute,Tribute
1665,Achievement,Achievement
1666,Greetings,Greetings
1667,Generic,Generic
1668,Address,Address
1669,Political Confrontations,Political Confrontations
1670,Tribute,Tribute
1671,Generic,Generic
1672,Political Confrontations,Political Confrontations
1673,Generic,Generic
1674,Greetings,Greetings
1675,Achievement,Achievement
1676,Update,Update
1677,Greetings,Greetings
1678,Greetings,Greetings
1679,Update,Update
1680,Update,Update
1681,Achievement,Achievement
1682,Generic,Greetings
1683,Generic,Generic
1684,Tribute,Tribute
1685,Tribute,Tribute
1686,Update,Update
1687,Tribute,Generic
1688,Update,Generic
1689,Update,Update
1690,Update,Update
1691,Update,Update
1692,Appeal,Appeal
1693,Update,Update
1694,Tribute,Update
1695,Update,Update
1696,Address,Address
1697,Update,Update
1698,Generic,Political Confrontations
1699,Greetings,Greetings
1700,Update,Update
1701,Appeal,Appeal
1702,Generic,Generic
1703,Achievement,Achievement
1704,Congratulation,Congratulation
1705,Achievement,Achievement
